target,source,weight
avantrip,avantrip,70
avantrip,fedemoglia,8
avantrip,fefemelon,8
avantrip,"lovely.world.tips",7
avantrip,"silvi_chaplin",7
avantrip,gaivironsky,6
avantrip,guadacava,6
avantrip,jeshigirl,6
avantrip,lalucalf,6
avantrip,"mika_shoi",6
avantrip,adrianasmontero,5
avantrip,"ana_ester_rodriguez",5
avantrip,anaguie,5
avantrip,anniebenitez003,5
avantrip,belubasa,5
avantrip,"carolina.vazquez7",5
avantrip,giannicersosimo,5
avantrip,onlinehoteles,5
avantrip,pablitoclavitox,5
avantrip,patrymaciel,5
avantrip,porindia,5
avantrip,"risso.ni",5
avantrip,sunnydeas,5
avantrip,tastytravelba,5
avantrip,anamariarelladeclaisse,4
avantrip,antorasetto,4
avantrip,cintiurquiza,4
avantrip,facundoaphalo,4
avantrip,gonzalvarez95,4
avantrip,jdicavalieri,4
avantrip,"mariana.gisel",4
avantrip,"my_michelle_tattoo_and_art",4
avantrip,pamelaforciniti,4
avantrip,alejandroalvarez3977,3
avantrip,analauramellano,3
avantrip,barbaraercole,3
avantrip,caficd,3
avantrip,candypunta,3
avantrip,"carmencita_descalza",3
avantrip,caroladur,3
avantrip,"ccamila_c",3
avantrip,chiiaarlecko,3
avantrip,"cintia_8790",3
avantrip,"constanza.bussolini",3
avantrip,daniesgarcia,3
avantrip,dsrivarola,3
avantrip,elmundoesellimite,3
avantrip,"fenix_eclipse",3
avantrip,ferchusonic,3
avantrip,filafernandez,3
avantrip,"gabriel.pisera",3
avantrip,giovitariva,3
avantrip,hugopela,3
avantrip,"izaac_paulino",3
avantrip,"javiera_ergo",3
avantrip,jessienavarrop,3
avantrip,leofinok,3
avantrip,leyendashotel,3
avantrip,marthie0007,3
avantrip,mercedest5g,3
avantrip,natinterlante2017,3
avantrip,olivaricaro,3
avantrip,pablomihura,3
avantrip,"pao_b",3
avantrip,patriciaraqueldiaz,3
avantrip,sabrinasalamanca,3
avantrip,"sofi.biondii",3
avantrip,tanayina,3
avantrip,tomaasalvarez,3
avantrip,"vanina.bonetto",3
avantrip,vaninuz,3
avantrip,viniolivencia,3
avantrip,"____erikasierra___",2
avantrip,"_sandracuevas",2
avantrip,adrianagonzalez596,2
avantrip,adrigil54,2
avantrip,agusbascur,2
avantrip,agusgorbaran,2
avantrip,agustinaratto,2
avantrip,ailuama,2
avantrip,alduracing,2
avantrip,alejandraduliere,2
avantrip,anap20,2
avantrip,anarbordon,2
avantrip,andreamarkov,2
avantrip,"anto_campitelli",2
avantrip,antonelaprincipe,2
avantrip,antoricobelli,2
avantrip,"arii_villarreal",2
avantrip,"astriid.mr",2
avantrip,"belen_rivero",2
avantrip,bokehshooter,2
avantrip,borsellinosilvia,2
avantrip,brenassis,2
avantrip,"caro.pereyra.14",2
avantrip,"caro.salceda",2
avantrip,carocatoira,2
avantrip,caromarenzi,2
avantrip,castypipa,2
avantrip,"catalinamacias_",2
avantrip,cecidepalermook,2
avantrip,celestegilles,2
avantrip,chanuramallo,2
avantrip,chechudada,2
avantrip,clauuuufus,2
avantrip,cristinasfasciotti,2
avantrip,"cyn._sanchez",2
avantrip,dafgondikas,2
avantrip,dahianpatino,2
avantrip,damianisaak,2
avantrip,daniela8992,2
avantrip,"daniela_barbas",2
avantrip,daphrudd,2
avantrip,darlavueltaalmundo,2
avantrip,denisseluquech,2
avantrip,desp3rdigada,2
avantrip,dnvena,2
avantrip,doloresseillant,2
avantrip,elemaugere,2
avantrip,eljarillal,2
avantrip,elmundodeados,2
avantrip,epasteloff,2
avantrip,esteartu94,2
avantrip,estelitarodri,2
avantrip,"euge_coni",2
avantrip,"evelyn_grasso",2
avantrip,fanchu77,2
avantrip,"felic_ok",2
avantrip,florenciaaltuna,2
avantrip,fotografiaph88,2
avantrip,gastonmaenza,2
avantrip,"giiu.robledo",2
avantrip,"good_usa",2
avantrip,grifohmann,2
avantrip,gustavotrione,2
avantrip,"heraldo_78",2
avantrip,hocicuda,2
avantrip,"i_henriquez",2
avantrip,"immersion_tours",2
avantrip,itfriendsok,2
avantrip,"ivvi.g",2
avantrip,javienviaje,2
avantrip,jesippresas,2
avantrip,jiimina,2
avantrip,joiibaez,2
avantrip,josegmieres,2
avantrip,jowiemieli,2
avantrip,"juliet_f_c",2
avantrip,juliiforestieri,2
avantrip,"k.rogc",2
avantrip,"k.vivic",2
avantrip,lanumerologa,2
avantrip,"latiti_215",2
avantrip,lauelguea,2
avantrip,librosdeturismo,2
avantrip,lidialuciat,2
avantrip,lilian161266,2
avantrip,lilicapa88,2
avantrip,"liz_lemonde",2
avantrip,"lol_micael",2
avantrip,"lolo_prad0",2
avantrip,"lonely_pierrot",2
avantrip,"lu.villalba.2",2
avantrip,luchiernaga16,2
avantrip,luiginstag,2
avantrip,"luisina.sant",2
avantrip,lulialvarezz,2
avantrip,luzcollman,2
avantrip,maflorburghardt,2
avantrip,magalisalto,2
avantrip,magdisosa,2
avantrip,maisgran,2
avantrip,"mar__ii",2
avantrip,marcelamarin99,2
avantrip,mariacielovelazquez,2
avantrip,mariadelhuertoescob,2
avantrip,marianandreasaravia,2
avantrip,mariavaleriafreelance,2
avantrip,marilaucanz,2
avantrip,mariteiannino,2
avantrip,"matiasegm_",2
avantrip,maurisabinpaz,2
avantrip,mechigazzolo,2
avantrip,"meiga_nat",2
avantrip,"melimuller.90",2
avantrip,memigercek,2
avantrip,menendezmarianela,2
avantrip,mfonsoreyes,2
avantrip,mgbrestok,2
avantrip,"mica_rioss",2
avantrip,micabassiok,2
avantrip,"miriam_lb06",2
avantrip,mmontoya23,2
avantrip,monyvf,2
avantrip,mooismissing,2
avantrip,mpzanetti,2
avantrip,"ms.short",2
avantrip,muraleslaplata,2
avantrip,mvictoriamascaro,2
avantrip,"nancy.la.10",2
avantrip,nanuyaneff,2
avantrip,natpigu,2
avantrip,natulinaramos,2
avantrip,nerendapeajulago,2
avantrip,newellspocho,2
avantrip,nicodinenzon,2
avantrip,"noel_lanegra",2
avantrip,"noelia_sorba",2
avantrip,"norma_faravelli",2
avantrip,nubesdepure,2
avantrip,nuestromundojuntos,2
avantrip,"orii_brandan",2
avantrip,ourpassportjournal,2
avantrip,patocarbo8,2
avantrip,paulinarampoldi,2
avantrip,pelaecharri,2
avantrip,"pepona_o",2
avantrip,"petite_blonde_cari",2
avantrip,pinkychocron,2
avantrip,polromi,2
avantrip,polynieto,2
avantrip,quirozsabrina,2
avantrip,"ramirez_h2o",2
avantrip,romihildebr,2
avantrip,rpliber,2
avantrip,rubinopl,2
avantrip,russssssss,2
avantrip,saluzzig,2
avantrip,savedracory,2
avantrip,sebaru27,2
avantrip,"sebas_solimo",2
avantrip,"silvana_conrero",2
avantrip,silvanapipi,2
avantrip,socoadventures,2
avantrip,"soledad_pis",2
avantrip,"solsis_lennon",2
avantrip,solsullivaan,2
avantrip,sprawltwo,2
avantrip,swanheart09,2
avantrip,tamyflor,2
avantrip,tinapalazon,2
avantrip,tinchoogc,2
avantrip,tricocoblog,2
avantrip,trinyzanon,2
avantrip,"turismo.comave",2
avantrip,"vale.from.space",2
avantrip,vanesullivan,2
avantrip,veritobus,2
avantrip,"vero.haberstroh",2
avantrip,veruchis0519,2
avantrip,viajandoconsil,2
avantrip,vickitatoto,2
avantrip,violetamatorras,2
avantrip,visuales26,2
avantrip,"viviana.vi.vi",2
avantrip,"vivitrainer_lucero",2
avantrip,"x.melu",2
avantrip,"xime_estetica",2
avantrip,yannipucheta,2
avantrip,yelpasma,2
avantrip,yosoymelgon,2
avantrip,5billionstarhotel,1
avantrip,7aliathari,1
avantrip,"_.paulitaromero._",1
avantrip,"__._c.s.r_",1
avantrip,"___chanti_",1
avantrip,"__gimmemore",1
avantrip,"_betiana.s._",1
avantrip,"_fervillalba_",1
avantrip,"_morella_",1
avantrip,"_pilarfunes_",1
avantrip,aaamozzoni,1
avantrip,aaguscaminos,1
avantrip,aaleshinaa,1
avantrip,"abby.veleda",1
avantrip,abelpicone,1
avantrip,"abu_biuti",1
avantrip,abuelachicha,1
avantrip,acmick,1
avantrip,act1622,1
avantrip,adizappa,1
avantrip,adracordero,1
avantrip,"adriana.chisena",1
avantrip,adriana200871,1
avantrip,"adriana_carva",1
avantrip,adrianabetz,1
avantrip,adriartista,1
avantrip,adrilarubia2017,1
avantrip,adripinkangel,1
avantrip,"agus_donofrio",1
avantrip,agusbouche,1
avantrip,aguscolobraro,1
avantrip,"agusconti_91",1
avantrip,"agusisturiz.arte",1
avantrip,agusiucci,1
avantrip,agustinamorales21,1
avantrip,agustinavelasco,1
avantrip,agustinazagari,1
avantrip,"agustino.51",1
avantrip,agusttinasuarez,1
avantrip,"aguus.fauda",1
avantrip,ainipellizzari,1
avantrip,"ala22_ar",1
avantrip,alanrecchioni,1
avantrip,"alchemy_beards",1
avantrip,"ale_gambetta12",1
avantrip,"ale_sol_longo",1
avantrip,"ale_sole_avalos",1
avantrip,aleaalfonso,1
avantrip,aleasorey,1
avantrip,"alee_melian",1
avantrip,aleesora,1
avantrip,alefaifer,1
avantrip,alegiusyaroundtheworld,1
avantrip,"aleja_cir",1
avantrip,"alejandra__badilla",1
