target,ssnn,vertical,weight
infoviajera,ig,info,504
assistcard,ig,aseguradora,503
mapfre,ig,aseguradora,503
zurichseguros,ig,aseguradora,487
avantrip,ig,retailer,424
"universal.assistance",ig,aseguradora,418
"universal.assistance",ig,hashtag,2
"travelace.assistance",ig,aseguradora,354
aseguratuviaje,ig,retailer,272
tsviaje,ig,retailer,254
seguroslacaja,ig,aseguradora,234
bnppcardifarg,ig,aseguradora,219
assist365ok,ig,aseguradora,130
fedpatoficial,ig,aseguradora,116
sancristobalseg,ig,aseguradora,87
asegurarseonline,ig,retailer,79
assistravelok,ig,aseguradora,59
allianzarg,ig,aseguradora,58
ojosmarroncomun,ig,info,56
larevistadelazaro,ig,retailer,51
"kr.is6420",ig,hashtag,47
institutoaseguradormercantil,ig,aseguradora,37
medassistcard,ig,aseguradora,28
quizviajeroig,ig,info,27
"accidentesdetransito.co",ig,hashtag,24
compresegurosarg,ig,retailer,21
"cw_asesorasdeseguros",ig,hashtag,21
aminsurances,ig,retailer,16
aminsurances,ig,hashtag,1
"consultdent.ec",ig,hashtag,17
"leytransito.abogados",ig,hashtag,17
asistencialegal2015,ig,hashtag,16
"ines.letsgo",ig,retailer,16
pamelakarencobelo,ig,hashtag,15
"lucaskowalec_",ig,hashtag,12
serficenterseguros,ig,aseguradora,12
basagente,ig,hashtag,11
cecireiter,ig,hashtag,11
daniarcucci,ig,aseguradora,11
"cardif_russia",ig,hashtag,10
garroteyasociados,ig,hashtag,10
"worldtravel.fr",ig,hashtag,10
vanybrokers,ig,hashtag,9
angelguardrd,ig,retailer,8
awwasuites,ig,retailer,8
reclamarzonasur,ig,hashtag,8
bnpparibascardifmx,ig,hashtag,7
chapelcobrokers,ig,aseguradora,7
estasporviajar,ig,hashtag,6
estasporviajar,ig,aseguradora,1
floborelli,ig,hashtag,7
ljdajoker,ig,hashtag,7
travelacevenezuela,ig,hashtag,7
celestegilles,ig,retailer,6
dafeventos,ig,hashtag,6
fefegauna,ig,hashtag,6
magojebus,ig,hashtag,6
relax09trave,ig,hashtag,6
sangarciacorre,ig,aseguradora,6
startuptours,ig,aseguradora,6
startuptours,ig,hashtag,0
"_benjiefedecrew",ig,hashtag,5
cabalasesores,ig,hashtag,5
julianalvarezseguros,ig,hashtag,5
sebaagansters,ig,hashtag,5
somosasistencia,ig,hashtag,5
"teamcc__",ig,hashtag,5
"veronica.mariana",ig,hashtag,5
alphatravelassistve,ig,hashtag,4
anilivramento,ig,retailer,4
asistenciaskopacarza,ig,aseguradora,2
asistenciaskopacarza,ig,hashtag,2
braiantoledo,ig,hashtag,4
jimelandeiro,ig,hashtag,4
limpiezajuanlu,ig,hashtag,4
"lu.capalbo",ig,hashtag,4
"moniqui_caceres",ig,aseguradora,4
moodmentarg,ig,hashtag,4
"new_british_passport",ig,hashtag,4
onixrecuperadora,ig,aseguradora,4
premiercorretoraoficial,ig,aseguradora,4
premiumglobalinsurance,ig,hashtag,4
viajoprotegido,ig,hashtag,2
viajoprotegido,ig,retailer,2
viasurance,ig,hashtag,4
"vivi_fotoviajando",ig,retailer,4
adriangst,ig,hashtag,3
adrifainstein,ig,hashtag,3
aseguraencasa,ig,aseguradora,3
atmassistance,ig,hashtag,2
atmassistance,ig,retailer,1
btassist,ig,hashtag,3
carlitaczok,ig,aseguradora,3
casasbaez2014,ig,hashtag,3
cmagp,ig,hashtag,3
"dulcinea_photos",ig,info,3
expoestrategas,ig,hashtag,3
halffargentinabroker,ig,hashtag,3
hidabasrd,ig,hashtag,3
internationalassist,ig,hashtag,3
italiaturs,ig,hashtag,3
"juberseg_corretora",ig,aseguradora,3
luisgonzalopanta,ig,aseguradora,3
marlaehrseguros,ig,hashtag,3
"martu_dominici",ig,hashtag,3
meibrea,ig,hashtag,3
mercantilandinaseguros,ig,hashtag,2
mercantilandinaseguros,ig,aseguradora,1
novaegide,ig,aseguradora,3
"saseguros_",ig,aseguradora,3
scubasquadnation,ig,hashtag,3
segurosfolino,ig,hashtag,3
suarezrow,ig,hashtag,3
"turista.ar",ig,retailer,3
adseguroseinversiones,ig,hashtag,2
"alejandro__mtb",ig,hashtag,2
"alis_hbl",ig,hashtag,2
antonunezj,ig,retailer,2
argentinosenasia,ig,hashtag,2
bfsweetcreatures,ig,hashtag,2
breenramone,ig,hashtag,2
carolinaandradeseguros,ig,aseguradora,2
"cbtotal_services",ig,hashtag,2
"claudio_destefano",ig,aseguradora,2
clickclickbf,ig,hashtag,2
daafnediaz,ig,aseguradora,2
dandolevuelta,ig,hashtag,2
danimeajuda,ig,aseguradora,2
destinospr,ig,hashtag,2
empujandolimites,ig,aseguradora,2
estilohockeyar,ig,aseguradora,2
estudiomapseguros,ig,aseguradora,2
evesturismo,ig,info,2
"filipe_corretor_de_seguros",ig,aseguradora,2
grupoassil,ig,hashtag,2
"heber.herrera",ig,hashtag,2
integraleseguros,ig,aseguradora,2
javireiter,ig,hashtag,2
jpbfseguros,ig,aseguradora,1
jpbfseguros,ig,hashtag,1
"kabak_seguros",ig,aseguradora,2
"karango_seguros",ig,aseguradora,2
"luca_baldi_ph",ig,hashtag,2
"mapfre_ve",ig,aseguradora,2
"mapfreseguros.apm",ig,aseguradora,1
"mapfreseguros.apm",ig,hashtag,1
"marianopernia_oficial",ig,hashtag,2
"mediatica_prensa",ig,aseguradora,2
"mel_and_inuki",ig,hashtag,2
"moderndaygladiatos_",ig,hashtag,2
"monzon_tome",ig,hashtag,2
"mundoseguros_net",ig,retailer,2
niicopucherta,ig,hashtag,2
onetrustadvisors,ig,hashtag,2
openinsurances,ig,hashtag,2
patrickpassport,ig,aseguradora,2
pitidelia,ig,aseguradora,2
praktiqbe,ig,hashtag,2
qbeautyxentials,ig,hashtag,2
qbemedienhaus,ig,hashtag,2
"quakeboys_",ig,hashtag,2
"restore_reparacoes",ig,aseguradora,2
"rocio.milii",ig,hashtag,2
roquecarr,ig,hashtag,2
rtacorretoradeseguros,ig,aseguradora,2
"rushhour_lee",ig,hashtag,2
secreautomecanica,ig,hashtag,2
seguraltatoledopr,ig,hashtag,2
segurosaqui,ig,aseguradora,2
sidneycambio,ig,aseguradora,2
sogesseguros,ig,hashtag,2
startupgroupconsultores,ig,hashtag,2
sunshinecoastlightning,ig,hashtag,2
talkseguros,ig,aseguradora,2
"taller_0kmichelli",ig,aseguradora,2
talleresrogelio,ig,aseguradora,2
tgrupsigorta,ig,aseguradora,2
"tuseguro.rd",ig,hashtag,2
vistaviajeseguro,ig,hashtag,2
"yaninamartinez.martinarroyoipc",ig,hashtag,2
"yas_torres1",ig,hashtag,2
"__amyelisabeth",ig,hashtag,1
"_jamies_life_",ig,hashtag,1
"_javier2lara",ig,aseguradora,1
aaaagustinitaaa,ig,hashtag,1
abmueblesparaeventos,ig,hashtag,1
acaoseguros,ig,hashtag,1
