ssnn,interaccion,target,source,weight
instagram,comments,avantrip,avantrip,70
instagram,comments,avantrip,fedemoglia,8
instagram,comments,avantrip,fefemelon,8
instagram,comments,avantrip,"lovely.world.tips",7
instagram,comments,avantrip,"silvi_chaplin",7
instagram,comments,avantrip,gaivironsky,6
instagram,comments,avantrip,guadacava,6
instagram,comments,avantrip,jeshigirl,6
instagram,comments,avantrip,lalucalf,6
instagram,comments,avantrip,"mika_shoi",6
instagram,comments,avantrip,adrianasmontero,5
instagram,comments,avantrip,"ana_ester_rodriguez",5
instagram,comments,avantrip,anaguie,5
instagram,comments,avantrip,anniebenitez003,5
instagram,comments,avantrip,belubasa,5
instagram,comments,avantrip,"carolina.vazquez7",5
instagram,comments,avantrip,giannicersosimo,5
instagram,comments,avantrip,onlinehoteles,5
instagram,comments,avantrip,pablitoclavitox,5
instagram,comments,avantrip,patrymaciel,5
instagram,comments,avantrip,porindia,5
instagram,comments,avantrip,"risso.ni",5
instagram,comments,avantrip,sunnydeas,5
instagram,comments,avantrip,tastytravelba,5
instagram,comments,avantrip,anamariarelladeclaisse,4
instagram,comments,avantrip,antorasetto,4
instagram,comments,avantrip,cintiurquiza,4
instagram,comments,avantrip,facundoaphalo,4
instagram,comments,avantrip,gonzalvarez95,4
instagram,comments,avantrip,jdicavalieri,4
instagram,comments,avantrip,"mariana.gisel",4
instagram,comments,avantrip,"my_michelle_tattoo_and_art",4
instagram,comments,avantrip,pamelaforciniti,4
instagram,comments,avantrip,alejandroalvarez3977,3
instagram,comments,avantrip,analauramellano,3
instagram,comments,avantrip,barbaraercole,3
instagram,comments,avantrip,caficd,3
instagram,comments,avantrip,candypunta,3
instagram,comments,avantrip,"carmencita_descalza",3
instagram,comments,avantrip,caroladur,3
instagram,comments,avantrip,"ccamila_c",3
instagram,comments,avantrip,chiiaarlecko,3
instagram,comments,avantrip,"cintia_8790",3
instagram,comments,avantrip,"constanza.bussolini",3
instagram,comments,avantrip,daniesgarcia,3
instagram,comments,avantrip,dsrivarola,3
instagram,comments,avantrip,elmundoesellimite,3
instagram,comments,avantrip,"fenix_eclipse",3
instagram,comments,avantrip,ferchusonic,3
instagram,comments,avantrip,filafernandez,3
instagram,comments,avantrip,"gabriel.pisera",3
instagram,comments,avantrip,giovitariva,3
instagram,comments,avantrip,hugopela,3
instagram,comments,avantrip,"izaac_paulino",3
instagram,comments,avantrip,"javiera_ergo",3
instagram,comments,avantrip,jessienavarrop,3
instagram,comments,avantrip,leofinok,3
instagram,comments,avantrip,leyendashotel,3
instagram,comments,avantrip,marthie0007,3
instagram,comments,avantrip,mercedest5g,3
instagram,comments,avantrip,natinterlante2017,3
instagram,comments,avantrip,olivaricaro,3
instagram,comments,avantrip,pablomihura,3
instagram,comments,avantrip,"pao_b",3
instagram,comments,avantrip,patriciaraqueldiaz,3
instagram,comments,avantrip,sabrinasalamanca,3
instagram,comments,avantrip,"sofi.biondii",3
instagram,comments,avantrip,tanayina,3
instagram,comments,avantrip,tomaasalvarez,3
instagram,comments,avantrip,"vanina.bonetto",3
instagram,comments,avantrip,vaninuz,3
instagram,comments,avantrip,viniolivencia,3
instagram,comments,avantrip,"____erikasierra___",2
instagram,comments,avantrip,"_sandracuevas",2
instagram,comments,avantrip,adrianagonzalez596,2
instagram,comments,avantrip,adrigil54,2
instagram,comments,avantrip,agusbascur,2
instagram,comments,avantrip,agusgorbaran,2
instagram,comments,avantrip,agustinaratto,2
instagram,comments,avantrip,ailuama,2
instagram,comments,avantrip,alduracing,2
instagram,comments,avantrip,alejandraduliere,2
instagram,comments,avantrip,anap20,2
instagram,comments,avantrip,anarbordon,2
instagram,comments,avantrip,andreamarkov,2
instagram,comments,avantrip,"anto_campitelli",2
instagram,comments,avantrip,antonelaprincipe,2
instagram,comments,avantrip,antoricobelli,2
instagram,comments,avantrip,"arii_villarreal",2
instagram,comments,avantrip,"astriid.mr",2
instagram,comments,avantrip,"belen_rivero",2
instagram,comments,avantrip,bokehshooter,2
instagram,comments,avantrip,borsellinosilvia,2
instagram,comments,avantrip,brenassis,2
instagram,comments,avantrip,"caro.pereyra.14",2
instagram,comments,avantrip,"caro.salceda",2
instagram,comments,avantrip,carocatoira,2
instagram,comments,avantrip,caromarenzi,2
instagram,comments,avantrip,castypipa,2
instagram,comments,avantrip,"catalinamacias_",2
instagram,comments,avantrip,cecidepalermook,2
instagram,comments,avantrip,celestegilles,2
instagram,comments,avantrip,chanuramallo,2
instagram,comments,avantrip,chechudada,2
instagram,comments,avantrip,clauuuufus,2
instagram,comments,avantrip,cristinasfasciotti,2
instagram,comments,avantrip,"cyn._sanchez",2
instagram,comments,avantrip,dafgondikas,2
instagram,comments,avantrip,dahianpatino,2
instagram,comments,avantrip,damianisaak,2
instagram,comments,avantrip,daniela8992,2
instagram,comments,avantrip,"daniela_barbas",2
instagram,comments,avantrip,daphrudd,2
instagram,comments,avantrip,darlavueltaalmundo,2
instagram,comments,avantrip,denisseluquech,2
instagram,comments,avantrip,desp3rdigada,2
instagram,comments,avantrip,dnvena,2
instagram,comments,avantrip,doloresseillant,2
instagram,comments,avantrip,elemaugere,2
instagram,comments,avantrip,eljarillal,2
instagram,comments,avantrip,elmundodeados,2
instagram,comments,avantrip,epasteloff,2
instagram,comments,avantrip,esteartu94,2
instagram,comments,avantrip,estelitarodri,2
instagram,comments,avantrip,"euge_coni",2
instagram,comments,avantrip,"evelyn_grasso",2
instagram,comments,avantrip,fanchu77,2
instagram,comments,avantrip,"felic_ok",2
instagram,comments,avantrip,florenciaaltuna,2
instagram,comments,avantrip,fotografiaph88,2
instagram,comments,avantrip,gastonmaenza,2
instagram,comments,avantrip,"giiu.robledo",2
instagram,comments,avantrip,"good_usa",2
instagram,comments,avantrip,grifohmann,2
instagram,comments,avantrip,gustavotrione,2
instagram,comments,avantrip,"heraldo_78",2
instagram,comments,avantrip,hocicuda,2
instagram,comments,avantrip,"i_henriquez",2
instagram,comments,avantrip,"immersion_tours",2
instagram,comments,avantrip,itfriendsok,2
instagram,comments,avantrip,"ivvi.g",2
instagram,comments,avantrip,javienviaje,2
instagram,comments,avantrip,jesippresas,2
instagram,comments,avantrip,jiimina,2
instagram,comments,avantrip,joiibaez,2
instagram,comments,avantrip,josegmieres,2
instagram,comments,avantrip,jowiemieli,2
instagram,comments,avantrip,"juliet_f_c",2
instagram,comments,avantrip,juliiforestieri,2
instagram,comments,avantrip,"k.rogc",2
instagram,comments,avantrip,"k.vivic",2
instagram,comments,avantrip,lanumerologa,2
instagram,comments,avantrip,"latiti_215",2
instagram,comments,avantrip,lauelguea,2
instagram,comments,avantrip,librosdeturismo,2
instagram,comments,avantrip,lidialuciat,2
instagram,comments,avantrip,lilian161266,2
instagram,comments,avantrip,lilicapa88,2
instagram,comments,avantrip,"liz_lemonde",2
instagram,comments,avantrip,"lol_micael",2
instagram,comments,avantrip,"lolo_prad0",2
instagram,comments,avantrip,"lonely_pierrot",2
instagram,comments,avantrip,"lu.villalba.2",2
instagram,comments,avantrip,luchiernaga16,2
instagram,comments,avantrip,luiginstag,2
instagram,comments,avantrip,"luisina.sant",2
instagram,comments,avantrip,lulialvarezz,2
instagram,comments,avantrip,luzcollman,2
instagram,comments,avantrip,maflorburghardt,2
instagram,comments,avantrip,magalisalto,2
instagram,comments,avantrip,magdisosa,2
instagram,comments,avantrip,maisgran,2
instagram,comments,avantrip,"mar__ii",2
instagram,comments,avantrip,marcelamarin99,2
instagram,comments,avantrip,mariacielovelazquez,2
instagram,comments,avantrip,mariadelhuertoescob,2
instagram,comments,avantrip,marianandreasaravia,2
instagram,comments,avantrip,mariavaleriafreelance,2
instagram,comments,avantrip,marilaucanz,2
instagram,comments,avantrip,mariteiannino,2
instagram,comments,avantrip,"matiasegm_",2
instagram,comments,avantrip,maurisabinpaz,2
instagram,comments,avantrip,mechigazzolo,2
instagram,comments,avantrip,"meiga_nat",2
