target,ssnn,vertical,weight
"quiz_viajero",tw,info,1239
"quiz_viajero",tw,retailer,47
"quiz_viajero",tw,aseguradora,22
infoviajera,tw,info,1221
infoviajera,tw,retailer,2
floxie10,tw,info,1212
sirchandlerblog,tw,info,1211
promosaereasar,tw,info,718
avantrip,tw,retailer,694
revestrategas,tw,info,629
revestrategas,tw,aseguradora,2
expoestrategas,tw,info,432
expoestrategas,tw,aseguradora,3
asistenciaya,tw,retailer,405
asistenciaya,tw,info,4
asistenciaya,tw,aseguradora,2
bertita2014,tw,info,389
"kenn_qbe",tw,hashtag,378
assist365ok,tw,aseguradora,373
todoriesgoweb,tw,info,356
assistcard,tw,aseguradora,305
allianzarg,tw,aseguradora,198
allianzarg,tw,info,1
carlosatolosa,tw,info,167
carlosatolosa,tw,retailer,1
seguroslacaja,tw,aseguradora,152
hotelkilo787,tw,info,130
hotelkilo787,tw,retailer,9
hotelkilo787,tw,aseguradora,3
"buenafuente_seg",tw,info,139
universalassist,tw,aseguradora,131
ezequielalejan6,tw,info,130
100segurotv,tw,info,126
fedpatoficial,tw,aseguradora,107
fedpatoficial,tw,info,3
verukatrip,tw,info,101
verukatrip,tw,retailer,6
"lila_ssn",tw,hashtag,106
pooleconomico,tw,info,102
"ssn_ar",tw,info,101
"instituto_aseg",tw,aseguradora,99
tiempodeseguros,tw,info,80
gbarbeito,tw,info,75
gbarbeito,tw,aseguradora,1
segurossuraar,tw,aseguradora,75
dinhaviajera,tw,info,67
dinhaviajera,tw,retailer,4
"ink_qbe",tw,hashtag,69
positivelyjoan,tw,hashtag,66
maynardjgr,tw,info,35
maynardjgr,tw,retailer,22
maynardjgr,tw,aseguradora,6
mequieroirahi,tw,retailer,29
mequieroirahi,tw,info,27
mequieroirahi,tw,aseguradora,6
blossombei,tw,info,61
adrianratam,tw,info,60
bnppcardifarg,tw,aseguradora,59
pabloae1970,tw,aseguradora,51
pabloae1970,tw,info,6
pinorocha,tw,info,57
quemero20,tw,info,50
quemero20,tw,aseguradora,6
"fernando_zambon",tw,info,48
"fernando_zambon",tw,aseguradora,7
segurosaldia,tw,info,51
fegahr,tw,retailer,49
"ice_qbe",tw,hashtag,48
resourceful1942,tw,hashtag,48
vanturrisima,tw,info,46
vanturrisima,tw,retailer,2
juanmonroig,tw,info,46
kavn,tw,hashtag,45
tsviaje,tw,retailer,42
"gabriela_tre",tw,retailer,25
"gabriela_tre",tw,info,14
"gabriela_tre",tw,aseguradora,1
stefanorepetto2,tw,aseguradora,40
analiagoffi,tw,info,33
analiagoffi,tw,aseguradora,3
analiagoffi,tw,retailer,3
"ssn_jiw",tw,hashtag,39
gydtravelers,tw,info,30
gydtravelers,tw,retailer,7
"_travelace",tw,aseguradora,35
abccardinal,tw,aseguradora,35
flwrgirl66x,tw,hashtag,35
mirtaboedo,tw,info,25
mirtaboedo,tw,retailer,9
solobusescba,tw,info,32
solobusescba,tw,retailer,2
20cristi,tw,aseguradora,33
aeropuertouio,tw,hashtag,33
integrityseg,tw,aseguradora,33
masegurostw,tw,aseguradora,32
masegurostw,tw,hashtag,1
pbadorrey,tw,info,33
carreteandoblog,tw,info,26
carreteandoblog,tw,retailer,5
carreteandoblog,tw,aseguradora,1
santperezvitali,tw,aseguradora,29
santperezvitali,tw,info,3
abril077,tw,info,20
abril077,tw,retailer,11
mmonacci,tw,info,29
mmonacci,tw,aseguradora,1
olivefarmer,tw,hashtag,30
sergioapicella,tw,aseguradora,21
sergioapicella,tw,info,9
juanoflyer,tw,info,27
juanoflyer,tw,aseguradora,2
elviajeamado,tw,info,25
elviajeamado,tw,retailer,3
grachumorel,tw,info,17
grachumorel,tw,retailer,10
joseurdiroz,tw,info,27
desordendpanico,tw,info,26
ernestovilla987,tw,info,26
jzottos1,tw,info,25
jzottos1,tw,aseguradora,1
"yami_echague",tw,info,24
"yami_echague",tw,retailer,2
lavidanomade,tw,info,25
assistravel,tw,aseguradora,24
prudenciaseg,tw,aseguradora,24
compresegurostw,tw,retailer,22
compresegurostw,tw,info,1
"confiar_seguros",tw,aseguradora,21
"confiar_seguros",tw,info,2
"miyana_ssn",tw,hashtag,23
"qbe_root",tw,hashtag,23
chsegurosok,tw,aseguradora,11
chsegurosok,tw,info,11
laputanorte,tw,aseguradora,22
"osh_ssn",tw,hashtag,22
alealzuga,tw,retailer,21
aleottawa,tw,info,21
homegrownjoan,tw,hashtag,21
"ssn_ssk",tw,hashtag,21
"00_ssn",tw,hashtag,20
ladysilvyz,tw,retailer,11
ladysilvyz,tw,info,9
pili0909,tw,info,16
pili0909,tw,retailer,4
ricardo07cc,tw,info,19
ricardo07cc,tw,retailer,1
stuartsmyth66,tw,hashtag,20
docentebonaeren,tw,info,19
flyezequiel,tw,info,19
g4st2n,tw,info,18
g4st2n,tw,aseguradora,1
pdoctorovich,tw,aseguradora,19
peterdoodes,tw,hashtag,19
rebeccuscom,tw,info,18
rebeccuscom,tw,retailer,1
rosariosegura1,tw,info,19
camarapland,tw,aseguradora,18
fedecuco,tw,info,18
gracielasasbon,tw,info,18
simon25m,tw,info,16
simon25m,tw,retailer,2
bossywhenneeded,tw,hashtag,17
manzurdiego,tw,info,17
raspandoelmapa,tw,info,14
raspandoelmapa,tw,aseguradora,3
"ssn_lehwa",tw,hashtag,17
aeroaplicador1,tw,info,16
dulcineacotter,tw,retailer,10
dulcineacotter,tw,info,6
edusssspow,tw,info,13
edusssspow,tw,retailer,3
"f_cardinal",tw,aseguradora,16
"fer_panelo",tw,info,16
icmifamericas,tw,info,16
loretopepa09,tw,info,16
ndapas2017,tw,aseguradora,13
ndapas2017,tw,info,3
nmrocco,tw,info,13
nmrocco,tw,aseguradora,3
solquintans,tw,info,16
soperuilh,tw,info,16
turytecnia,tw,info,16
dannicarvajal,tw,info,15
gudamemessa,tw,info,15
"hernann_n",tw,info,14
"hernann_n",tw,retailer,1
pichiescudero26,tw,aseguradora,11
pichiescudero26,tw,info,4
robertomenkes,tw,info,15
tuqui2004,tw,retailer,9
tuqui2004,tw,info,6
vecu88,tw,info,15
viajesdejuani,tw,info,12
viajesdejuani,tw,retailer,3
geralpettis,tw,info,13
geralpettis,tw,retailer,1
hortelmax,tw,aseguradora,13
hortelmax,tw,info,1
jimenaroldan,tw,info,14
karinatangari15,tw,info,14
ladipalma,tw,info,14
linnebrinkm,tw,aseguradora,11
linnebrinkm,tw,info,3
maralegoz,tw,info,13
maralegoz,tw,retailer,1
miniveintidos,tw,retailer,11
miniveintidos,tw,info,3
sebasstianpine,tw,info,14
viajarsiempre,tw,info,14
xime2203,tw,info,14
arielsonnet,tw,info,13
aviacionline,tw,info,13
bettbals,tw,info,11
bettbals,tw,retailer,2
deritofer,tw,info,13
drcaneda,tw,retailer,7
drcaneda,tw,info,5
drcaneda,tw,aseguradora,1
"lucena_chimi",tw,info,13
"matt_cuello",tw,info,13
anfigueroa90,tw,info,12
"boca_sanjuan",tw,aseguradora,12
comunidadavion,tw,info,12
diazpez,tw,info,12
federatier,tw,info,12
gastonsena29,tw,info,12
"german_m",tw,info,12
jeremiasushy,tw,info,12
kvivi24,tw,info,12
lordwallaby,tw,info,12
lucianaaon,tw,info,12
marcostrappi,tw,info,10
marcostrappi,tw,retailer,2
miscolectivos,tw,info,10
miscolectivos,tw,aseguradora,1
miscolectivos,tw,retailer,1
nachotrusso,tw,info,12
"shieo_qbe",tw,hashtag,12
"ssn_ry",tw,hashtag,12
twitdeine,tw,info,12
veritoroblescas,tw,info,12
"victor_biarnes",tw,info,12
"_daro",tw,info,11
delgrecoalfredo,tw,info,11
dtrica,tw,info,10
dtrica,tw,hashtag,1
dubrabr,tw,aseguradora,11
estudioderecha,tw,info,9
estudioderecha,tw,aseguradora,1
estudioderecha,tw,retailer,1
gabykiki,tw,info,11
iagonob22,tw,info,11
jmi149,tw,info,11
leqrodriguez,tw,info,11
marcel0adrian,tw,info,10
marcel0adrian,tw,aseguradora,1
mceleste1981,tw,info,8
mceleste1981,tw,retailer,3
mfaletty,tw,aseguradora,11
nimedionik,tw,info,11
nonegoziabili,tw,aseguradora,11
"reto_al_destino",tw,info,11
segurumex,tw,hashtag,11
"ssn_66",tw,hashtag,11
"suzzz_ssn",tw,hashtag,11
systemsegurosca,tw,hashtag,11
30aseawitch,tw,hashtag,10
antoniomaluge,tw,aseguradora,10
apascuyomza,tw,info,10
"aranya_ssn",tw,hashtag,10
"argentoos_ok",tw,info,10
chcastro10,tw,info,9
chcastro10,tw,aseguradora,1
"chngsk_ssn",tw,hashtag,10
dviruglio,tw,aseguradora,10
estela94664781,tw,aseguradora,6
estela94664781,tw,info,3
estela94664781,tw,hashtag,1
fedecvillafa,tw,aseguradora,5
fedecvillafa,tw,info,5
foodarses,tw,hashtag,10
fridasocrates,tw,info,10
gontraveler,tw,info,10
gustavo14309677,tw,aseguradora,10
jabereciartua,tw,aseguradora,10
jasstreit,tw,info,10
"lautigomez_02",tw,info,10
liganacional,tw,aseguradora,10
"mabel_peterson",tw,info,10
"mariana_agara",tw,info,8
"mariana_agara",tw,retailer,2
niconoriega,tw,aseguradora,5
niconoriega,tw,info,5
robimpaglione,tw,info,10
rockyroxi,tw,info,8
rockyroxi,tw,retailer,2
"ssn_85",tw,hashtag,10
swanheart5,tw,info,8
swanheart5,tw,retailer,2
titacuevas1,tw,info,10
viajero19711,tw,info,10
anaoreilly,tw,info,7
anaoreilly,tw,hashtag,2
bobblades3,tw,retailer,8
bobblades3,tw,info,1
"carryon_blog",tw,info,9
celesteyestrell,tw,info,9
elsuizorebelde,tw,info,9
estasporviajar,tw,hashtag,9
eustaquioag,tw,info,8
eustaquioag,tw,retailer,1
geminikanon10,tw,info,8
geminikanon10,tw,aseguradora,1
grupofv,tw,aseguradora,6
grupofv,tw,info,3
ignisanz,tw,info,8
ignisanz,tw,retailer,1
jbouzali,tw,info,9
jorquenlau,tw,info,9
josefinaboland,tw,info,9
karu07,tw,info,8
karu07,tw,aseguradora,1
kikelippi,tw,info,9
mdanflor,tw,info,9
"moro_argenta",tw,info,9
pepincascaron,tw,info,9
phandaw,tw,hashtag,9
"pipas_ar",tw,info,9
"robles_jdaniel",tw,hashtag,9
rsproductores,tw,aseguradora,9
solvijarra,tw,info,5
solvijarra,tw,retailer,4
"valeriasmith_ac",tw,info,7
"valeriasmith_ac",tw,aseguradora,2
yodigonirawei,tw,info,6
yodigonirawei,tw,retailer,3
"_qwaku_",tw,hashtag,8
aliciajuanita,tw,info,7
aliciajuanita,tw,retailer,1
"andresi_10",tw,info,8
brancowitz,tw,info,6
brancowitz,tw,retailer,2
caivazquez,tw,info,8
canelon12,tw,info,7
canelon12,tw,aseguradora,1
carlitaffuentes,tw,info,8
"cberrutti_carp",tw,info,8
conurbatour,tw,info,8
darkvi9,tw,info,7
darkvi9,tw,aseguradora,1
deviajeadisney,tw,info,8
elkikinnn,tw,info,8
esquivelanamar1,tw,info,8
ggamorosino,tw,info,8
"gp_pas",tw,aseguradora,6
"gp_pas",tw,info,2
gracielascaglio,tw,info,7
gracielascaglio,tw,retailer,1
"icmif_web",tw,info,8
javicoudray,tw,info,8
jodikoberinski,tw,hashtag,8
"karl_kirche",tw,info,8
"l2_lasegunda",tw,info,8
letlamor,tw,info,7
letlamor,tw,retailer,1
licha013,tw,info,8
locoadams,tw,info,8
lucasrrizo,tw,info,8
"lunita_cba",tw,info,7
"lunita_cba",tw,retailer,1
lunopolis,tw,info,8
maratrad,tw,info,7
maratrad,tw,retailer,1
marianasans,tw,info,8
nbnmi2,tw,info,7
nbnmi2,tw,retailer,1
paloaschieri,tw,info,5
paloaschieri,tw,aseguradora,3
silviaaquino1,tw,info,7
silviaaquino1,tw,hashtag,1
travelworldok,tw,info,8
"watch_ssn",tw,hashtag,8
ykkkchi,tw,hashtag,8
adriana62902996,tw,info,7
agusmodenutti,tw,info,6
agusmodenutti,tw,retailer,1
andonedynasty,tw,hashtag,7
arielgfonseca,tw,aseguradora,7
"augusto_t",tw,info,7
avionesdigital,tw,info,7
betinaazugna,tw,info,7
caterinack,tw,info,5
caterinack,tw,retailer,2
cbkr11,tw,info,7
cmalass,tw,info,7
dcarlosmorel,tw,info,5
dcarlosmorel,tw,aseguradora,2
"ddelgado_net",tw,info,7
dpegorar,tw,aseguradora,7
duhauaxel,tw,info,5
duhauaxel,tw,aseguradora,1
duhauaxel,tw,retailer,1
fernandezpm,tw,info,7
gabicolombo2010,tw,info,4
gabicolombo2010,tw,retailer,3
gioiaraul,tw,aseguradora,6
gioiaraul,tw,info,1
iccparla,tw,info,7
jomannez,tw,info,7
jpwseguros,tw,info,4
jpwseguros,tw,aseguradora,3
"juan_mazzini",tw,info,7
"lalo_1977",tw,info,7
laurasain,tw,info,7
lponsmanu,tw,info,7
"lulita_b",tw,aseguradora,6
