target,source,Count
avantrip,CircoVip,2
avantrip,avantrip,2
avantrip,InfoViajera,1
avantrip,JosefinaBoland,1
avantrip,LeaEn280,1
avantrip,LeoElTacheroo,1
avantrip,Lourdesgui,1
avantrip,MaritaBalbi,1
avantrip,RadioQV,1
avantrip,RubinoPL,1
avantrip,"SKYAirline_CL",1
avantrip,"SMN_Argentina",1
avantrip,Sebarzola,1
avantrip,TolyGirl,1
avantrip,ViajarSiempre,1
avantrip,fazioagus,1
avantrip,gabrielangio,1
avantrip,nanomago,1
avantrip,pablitolescano,1
avantrip,spain,1
avantrip,subtepass,1
avantrip,valb81,1
avantrip,viajeson,1
infoviajera,InfoViajera,5
assistcard,,
"quiz_viajero",xoffpoppe,5
"quiz_viajero",ChinoAlbertoni,3
"quiz_viajero",Gonzautd,3
"quiz_viajero",berlich,3
"quiz_viajero",ladipalma,3
"quiz_viajero",sabrifields,3
"quiz_viajero",AlexSpiraquis,2
"quiz_viajero",Juls0105,2
"quiz_viajero",LauVerano,2
"quiz_viajero",avantrip,2
"quiz_viajero",caterinack,2
"quiz_viajero",majogm,2
"quiz_viajero",mardelcore,2
"quiz_viajero",osvaldobazan,2
"quiz_viajero",silbearis,2
"quiz_viajero",verospot,2
"quiz_viajero",viviendoensuiza,2
"quiz_viajero",AnaLeaRonza,1
"quiz_viajero",BeMyOnlyReason,1
"quiz_viajero",CarlosSL21,1
"quiz_viajero",CarlosZrz,1
"quiz_viajero",Chekcov,1
"quiz_viajero",CinLed99,1
"quiz_viajero",Disneydreamsar,1
"quiz_viajero",ElForenseOk,1
"quiz_viajero",ElPailotOk,1
"quiz_viajero",EliOriti,1
"quiz_viajero",ElianaJosefina,1
"quiz_viajero",Evange2012,1
"quiz_viajero",GaboListorti,1
"quiz_viajero","Gabser_",1
"quiz_viajero","Gonzalomanuel_",1
"quiz_viajero",GugusCABJ,1
"quiz_viajero",JPFasa,1
"quiz_viajero",Katylandiaok,1
"quiz_viajero",Kiwita,1
"quiz_viajero",MissatomicDoc,1
"quiz_viajero",RadioQV,1
"quiz_viajero",RaspandoelMapa,1
"quiz_viajero",RoxaDada,1
"quiz_viajero",SabrinaAle8,1
"quiz_viajero",SantiaggoM,1
"quiz_viajero",Soleax,1
"quiz_viajero",SoyGipiyque,1
"quiz_viajero",Sybilla1201,1
"quiz_viajero",Trinko83,1
