target,source,Count
avantrip,"quiz_viajero",41
avantrip,avantrip,16
avantrip,"contintachina_",12
avantrip,CircoVip,9
avantrip,GallazziMauro,8
avantrip,TolyGirl,8
avantrip,kvivi24,8
avantrip,alfonsomoschen,7
avantrip,VeruKaTrip,6
avantrip,verostrizinec,6
avantrip,ARCEChechus,5
avantrip,LeoElTacheroo,5
avantrip,LuukeeC,5
avantrip,Magui92479540,5
avantrip,Simon25m,5
avantrip,juanisozuna,5
avantrip,subtepass,5
avantrip,Maflotinha,4
avantrip,MarcosTrappi,4
avantrip,"Pastito_",4
avantrip,Yllenbp,4
avantrip,flacomartinez63,4
avantrip,miniveintidos,4
avantrip,sabrinapetrino,4
avantrip,viajeson,4
avantrip,Gonzalofalcone,3
avantrip,Mceleste1981,3
avantrip,MirtaBoedo,3
avantrip,dafgondikas,3
avantrip,hoizmana,3
avantrip,nomecallomasok,3
avantrip,"okorn_",3
avantrip,quintamarilla,3
avantrip,"shishu_zafiro",3
avantrip,sil60,3
avantrip,vickygiavedoni,3
avantrip,BEATRIZVOS,2
avantrip,BabuinAnabella,2
avantrip,BeatsTraveler,2
avantrip,Dirgoe,2
avantrip,"Elio_Cantarutti",2
avantrip,FlorBonizzoni,2
avantrip,GydTravelers,2
avantrip,MarianoMillo,2
avantrip,"Nadia_lis",2
avantrip,TabataBricn,2
avantrip,alechenlo,2
avantrip,benitezmaru1,2
avantrip,chelostereo,2
avantrip,costanano,2
avantrip,danirivera81,2
avantrip,edgardomonso,2
avantrip,erix2604,2
avantrip,eugegimb,2
avantrip,ezecontreras,2
avantrip,gabicolombo2010,2
avantrip,godagama29,2
avantrip,ilrondi,2
avantrip,leis85,2
avantrip,"lic_mev",2
avantrip,lola2131,2
avantrip,lorellaj,2
avantrip,"mariana_agara",2
avantrip,maribert29,2
avantrip,matiasdolce,2
avantrip,mickey07093617,2
avantrip,mirandafede,2
avantrip,nonsugaradded,2
avantrip,popypam,2
avantrip,valb81,2
avantrip,Abrilbugliolo,1
avantrip,AgustynPerez1,1
avantrip,AleAlzuga,1
avantrip,"Ale_Knight",1
avantrip,"AleeVillar_",1
avantrip,AntoLittrell,1
avantrip,Augusto45611132,1
avantrip,"Bastet_mdq",1
avantrip,BettBals,1
avantrip,BiroloInes,1
avantrip,BoninoHernan,1
avantrip,CaciqueSenoja,1
avantrip,Carityss,1
avantrip,"CeSe_Carp",1
avantrip,Celesteyestrell,1
avantrip,Chichipia2017,1
avantrip,Cibeles,1
avantrip,Cirmir,1
avantrip,ClaudioMalito,1
avantrip,"Compass__Rose__",1
avantrip,CorazonAquino25,1
avantrip,DAmatoMelina,1
avantrip,DanielVenturino,1
avantrip,DenneMariana,1
avantrip,Diloxipa,1
avantrip,Eliasmvidal,1
avantrip,EnUnaMochila,1
avantrip,"EzraEdwards_",1
avantrip,Fercai20,1
avantrip,FlorenciaAcunia,1
avantrip,GeoHouston,1
avantrip,GuilleGrille,1
avantrip,GyF018,1
avantrip,JAgustinMdp,1
avantrip,JoaquinChia,1
avantrip,JosefinaBoland,1
avantrip,Josefugarte,1
avantrip,"Juan_Gon1993",1
avantrip,JudithDixit,1
avantrip,JuliansitoVol1,1
avantrip,LUKEysusviajes,1
avantrip,LaSookeeh,1
avantrip,LalitaEncantada,1
avantrip,LeaEn280,1
avantrip,Lourdesgui,1
avantrip,Lucasruizda,1
avantrip,LuciaMartinezt,1
avantrip,MFalco1905,1
avantrip,MIQUIFQ,1
avantrip,"MLaura_Lastres",1
avantrip,MMoussegne,1
avantrip,MadFerJess,1
avantrip,MarianiMatias,1
avantrip,MaritaBalbi,1
avantrip,MaxGas19,1
avantrip,MicaCastanoo,1
avantrip,MicaLataste,1
avantrip,MorochaViajera,1
avantrip,NachoMsn,1
avantrip,NahuelaleNahuel,1
avantrip,NicolasEstevao,1
avantrip,Olatter,1
avantrip,Orlando17cuba,1
avantrip,PauliBrusco,1
avantrip,PereyraMarinaa,1
avantrip,PrisciJota,1
avantrip,Qualityman156,1
avantrip,RaMuriass,1
avantrip,RaspandoelMapa,1
avantrip,ReginaLvrr,1
avantrip,"Ro_Salina",1
avantrip,RocioBVargas,1
avantrip,Rovaamonde,1
avantrip,RubinoPL,1
avantrip,SebasLallana,1
avantrip,Swanheart5,1
avantrip,TecitoDeAmapola,1
avantrip,"Tefy_Uhara",1
avantrip,TinRona,1
avantrip,Tomasschenfeld,1
avantrip,Unicornsrulez,1
avantrip,Urieldsimmon,1
avantrip,VGAOficial,1
avantrip,ValeriaLaura72,1
avantrip,VeluRey,1
avantrip,ViajarSiempre,1
avantrip,"ViajesyRelatos_",1
avantrip,VicuSalvatierra,1
avantrip,"Wellington_Duke",1
avantrip,"___whatevs",1
avantrip,"__calito__",1
avantrip,aalegzmn,1
avantrip,"agus_massa",1
avantrip,alebrzl,1
avantrip,alessandrohoale,1
avantrip,alidezi,1
avantrip,andrelove71,1
avantrip,anibalitodedio,1
avantrip,arqjog,1
avantrip,bronceadocloss,1
avantrip,candebs,1
avantrip,caritoadoue,1
avantrip,caritocadier,1
avantrip,caroboss1,1
avantrip,carreteandoblog,1
avantrip,casimellamoRita,1
avantrip,cecituits,1
avantrip,chamigoayalita,1
avantrip,churchmax,1
avantrip,claudiopalmas,1
avantrip,csiconurbano,1
avantrip,daniicalderonn,1
avantrip,deloqui,1
avantrip,diegoatroilo,1
avantrip,dronerosok,1
avantrip,duhauaxel,1
avantrip,eduabella,1
avantrip,elsuizorebelde,1
avantrip,emiarce15,1
avantrip,enavionabrasil,1
avantrip,ezedm85,1
avantrip,ezequielfanelli,1
avantrip,fabianpcdoctor,1
avantrip,fazioagus,1
avantrip,fedeclav,1
avantrip,fedemoglia,1
avantrip,fedeullua94,1
avantrip,"fransil_",1
avantrip,gabi87231602,1
avantrip,ggaltero,1
avantrip,gonzakaplan,1
avantrip,gpettinari,1
avantrip,grpicone,1
avantrip,"gustavo__CBA",1
avantrip,himura1991,1
avantrip,hipoyteca,1
avantrip,"ibar_andres",1
avantrip,iguanasanchez1,1
avantrip,inesantiK,1
avantrip,jccamps,1
avantrip,jorgekrause,1
avantrip,juandechosma,1
avantrip,juanigarcia33,1
avantrip,juanignaciovia,1
avantrip,karu011,1
avantrip,lacmagiur,1
avantrip,lalitorres90,1
avantrip,lamegachiva1,1
avantrip,litomasm31,1
avantrip,lubarucca,1
avantrip,"lucas_sanvi",1
avantrip,lujufigue,1
avantrip,lulins0901,1
avantrip,madbydm,1
avantrip,"magui_Jost",1
avantrip,maracampbell,1
avantrip,marcelagispe,1
avantrip,marcetrip,1
avantrip,marian1708,1
avantrip,marianodewilde,1
avantrip,marilaucanz,1
avantrip,martucavegol9,1
avantrip,matimarcilese,1
avantrip,matitipedutti,1
avantrip,"mauro_prof",1
avantrip,"mayrajuarez_",1
avantrip,mayrapertossi,1
avantrip,mb78surf,1
avantrip,mmarselll,1
avantrip,muyharto,1
avantrip,nachofp,1
avantrip,natilu733,1
avantrip,nazarenamedina,1
avantrip,netogold,1
avantrip,paulaneri,1
avantrip,"pe_viera",1
avantrip,perfilcom,1
avantrip,periman2011,1
avantrip,piamarchettisoy,1
avantrip,piamorna,1
avantrip,pilijavi29,1
avantrip,piquiri,1
avantrip,"pirila_d",1
avantrip,porgsforfreedom,1
avantrip,rgz2323,1
avantrip,rochiisaoli,1
avantrip,shielms,1
avantrip,silviadduci,1
avantrip,sirvoodoo,1
avantrip,solemanzorroo,1
avantrip,soleoza,1
avantrip,soolmarina,1
avantrip,soydmn,1
avantrip,soyverorees,1
avantrip,susmendoza,1
avantrip,teodoravuela,1
avantrip,tintilaymarcelo,1
avantrip,tresher2,1
avantrip,valeriadema,1
avantrip,vecu88,1
avantrip,verospot,1
avantrip,vivianatc,1
avantrip,walmmed,1
avantrip,yablonovich,1
avantrip,yaninagon79,1
avantrip,yesisegovia,1
avantrip,yonatie,1
avantrip,yosoypatri,1
avantrip,zarcellpo,1
infoviajera,InfoViajera,77
infoviajera,Xime2203,25
infoviajera,kvivi24,17
